id,name,yamakei,yamap,wikipedia,yamakei_id,yamap_id,wikipedia_title
1,富士山,O,O,O,396,14,富士山
2,北岳,O,O,O,592,138,北岳
3,奥穂高岳,O,O,O,539,143,穂高岳
4,間ノ岳,O,O,O,593,139,間ノ岳
5,槍ヶ岳,O,O,O,533,142,槍ヶ岳
6,東岳（悪沢岳）,O,O,O,614,183,荒川岳
7,赤石岳,O,O,O,617,184,聖岳
8,涸沢岳,O,O,O,538,1461,穂高岳
9,北穂高岳,O,O,O,537,1472,穂高岳
10,大喰岳,O,O,O,534,16338,大喰岳
11,前穂高岳,O,O,O,540,1426,穂高岳
12,中岳,O,O,O,535,1503,中岳 (北アルプス)
13,荒川岳,O,O,O,615,16958,荒川岳
14,荒川岳,O,O,O,616,15945,荒川岳
15,御嶽山,O,O,O,549,147,御嶽山
16,農鳥岳,O,X,O,594,,農鳥岳
17,塩見岳,O,O,O,604,182,塩見岳
18,仙丈ヶ岳,O,O,O,589,15,仙丈ヶ岳
19,南岳,O,O,O,536,1460,南岳
20,乗鞍岳,O,O,O,546,146,乗鞍岳
21,農鳥岳,O,O,O,595,140,農鳥岳
22,立山,X,O,O,,12,立山
23,聖岳,O,O,O,623,185,聖岳
24,剱岳,O,O,O,496,11,剱岳
25,水晶岳（黒岳）,O,O,O,488,13,水晶岳
26,駒ヶ岳,O,O,O,578,62,甲斐駒ヶ岳
27,駒ヶ岳,O,O,O,558,100,木曽駒ヶ岳
28,白馬岳,O,O,O,465,17,白馬岳
29,駒ヶ岳,O,O,O,559,2746,木曽駒ヶ岳
30,薬師岳,O,O,O,510,52,薬師岳
31,野口五郎岳,O,O,O,485,56,野口五郎岳
32,鷲羽岳,O,O,O,490,141,鷲羽岳
33,大天井岳,O,O,O,524,1499,大天井岳
34,西穂高岳,O,O,O,541,1409,西穂高岳
35,鑓ヶ岳,O,O,O,469,4274,鑓ヶ岳
36,赤岳,O,O,O,450,101,八ヶ岳連峰
37,笠ヶ岳,O,O,O,517,175,笠ヶ岳
38,広河内岳,O,O,O,597,16026,広河内岳
39,鹿島槍ヶ岳,O,O,O,472,174,鹿島槍ヶ岳
40,別山,O,O,O,497,6946,別山
41,龍王岳,X,O,O,,19563,龍王岳
42,旭岳,O,O,X,466,19686,
43,蝙蝠岳,O,O,O,605,16982,蝙蝠岳
44,空木岳,O,O,O,565,180,空木岳
